gsm	tissue	type	cluster
GSM1027335	pancreas	DNase_hypersensitivity	2
GSM1027336	kidney_fetal	DNase_hypersensitivity	7
GSM1027337	kidney_fetal	DNase_hypersensitivity	6
GSM1027338	kidney_fetal	DNase_hypersensitivity	7
GSM1027339	spinal_cord_fetal	DNase_hypersensitivity	2
GSM1027340	kidney_fetal	DNase_hypersensitivity	7
GSM1027341	muscle_fetal	DNase_hypersensitivity	7
GSM1027342	kidney_fetal	DNase_hypersensitivity	6
GSM1027343	placenta	DNase_hypersensitivity	6
GSM1027344	lung_fetal	DNase_hypersensitivity	7
GSM1027345	lung_fetal	DNase_hypersensitivity	7
GSM1027346	kidney_fetal	DNase_hypersensitivity	6
GSM1027347	kidney_fetal	DNase_hypersensitivity	7
GSM1027348	small_intestine_fetal	Digital_genomic_footprinting	11
GSM1027349	muscle_fetal	Digital_genomic_footprinting	7
GSM1027350	penis_foreskin_keratinocyte_primary_cells	Digital_genomic_footprinting	11
GSM1027351	thymus_fetal	Digital_genomic_footprinting	12
GSM1036258	thymus_fetal	ChIP-Seq_input	12
GSM1036259	CD3_primary_cells	Digital_genomic_footprinting	9
GSM1036260	large_intestine_fetal	Digital_genomic_footprinting	11
GSM1036372	CD56_primary_cells	Digital_genomic_footprinting	9
GSM1036373	CD8_primary_cells	Digital_genomic_footprinting	6
GSM1036374	CD4_primary_cells	Digital_genomic_footprinting	9
GSM1058764	CD3_primary_cells	H3K27ac	4
GSM1058765	large_intestine_fetal	H3K27ac	10
GSM1058766	small_intestine_fetal	H3K27ac	11
GSM1058767	muscle_fetal	H3K27ac	1
GSM1058768	large_intestine_fetal	H3K27me3	11
GSM1058769	small_intestine_fetal	H3K27me3	9
GSM1058770	muscle_fetal	H3K27me3	5
GSM1058771	large_intestine_fetal	H3K36me3	6
GSM1058772	small_intestine_fetal	H3K36me3	5
GSM1058773	muscle_fetal	H3K36me3	3
GSM1058774	CD3_primary_cells	H3K36me3	6
GSM1058775	large_intestine_fetal	H3K4me1	2
GSM1058776	small_intestine_fetal	H3K4me1	2
GSM1058777	muscle_fetal	H3K4me1	3
GSM1058778	CD3_primary_cells	H3K4me1	5
GSM1058779	large_intestine_fetal	H3K4me3	8
GSM1058780	small_intestine_fetal	H3K4me3	11
GSM1058781	muscle_fetal	H3K4me3	12
GSM1058782	CD3_primary_cells	H3K4me3	11
GSM1058783	CD3_primary_cells	H3K9me3	8
GSM1058784	CD19_primary_cells	H3K9me3	4
GSM1058785	muscle_fetal	H3K9me3	12
GSM1058786	large_intestine_fetal	ChIP-Seq_input	4
GSM1058787	small_intestine_fetal	ChIP-Seq_input	4
GSM1058788	muscle_fetal	ChIP-Seq_input	12
GSM1058789	CD3_primary_cells	ChIP-Seq_input	4
GSM1059437	lung	H3K36me3	3
GSM1059438	heart_right_ventricle	H3K36me3	3
GSM1059439	adrenal_gland	H3K36me3	3
GSM1059440	heart_aorta	H3K36me3	3
GSM1059441	bladder	H3K36me3	3
GSM1059442	liver	H3K36me3	3
GSM1059443	lung	H3K4me1	3
GSM1059444	psoas_muscle	H3K4me1	3
GSM1059445	heart_right_ventricle	H3K4me1	3
GSM1059446	thymus	H3K4me1	3
GSM1059447	adrenal_gland	H3K4me1	3
GSM1059448	heart_aorta	H3K4me1	9
GSM1059449	adrenal_gland	H3K4me1	3
GSM1059450	bladder	H3K4me1	3
GSM1059451	liver	H3K4me1	3
GSM1059456	sigmoid_colon	ChIP-Seq_input	11
GSM1059457	bladder	ChIP-Seq_input	4
GSM1059458	liver	ChIP-Seq_input	2
GSM1067793	bladder	mRNA-Seq	13
GSM1067795	liver	mRNA-Seq	13
GSM1101661	muscle_fetal	mRNA-Seq	13
GSM1101662	ovary_fetal	mRNA-Seq	13
GSM1101663	muscle_fetal	mRNA-Seq	13
GSM1101664	muscle_fetal	mRNA-Seq	13
GSM1101665	fibroblasts_skin	mRNA-Seq	13
GSM1101666	fibroblasts_skin	mRNA-Seq	13
GSM1101667	fibroblasts_skin	mRNA-Seq	13
GSM1101668	fibroblasts_skin	mRNA-Seq	13
GSM1101669	muscle_fetal	mRNA-Seq	13
GSM1101670	muscle_fetal	mRNA-Seq	13
GSM1101671	muscle_fetal	mRNA-Seq	13
GSM1101672	muscle_fetal	mRNA-Seq	13
GSM1101673	muscle_fetal	mRNA-Seq	13
GSM1101674	muscle_fetal	mRNA-Seq	13
GSM1101675	muscle_fetal	mRNA-Seq	13
GSM1101676	muscle_fetal	mRNA-Seq	13
GSM1101677	muscle_fetal	mRNA-Seq	13
GSM1101678	muscle_fetal	mRNA-Seq	13
GSM1101679	spinal_cord_fetal	mRNA-Seq	13
GSM1101680	fibroblasts_skin	mRNA-Seq	13
GSM1101681	fibroblasts_skin	mRNA-Seq	13
GSM1101682	muscle_fetal	mRNA-Seq	13
GSM1101683	lung_fetal	mRNA-Seq	13
GSM1101684	lung_fetal	mRNA-Seq	13
GSM1101685	lung_fetal	mRNA-Seq	13
GSM1101686	skeletal_muscle	mRNA-Seq	13
GSM1101687	lung_fetal	mRNA-Seq	13
GSM1101688	muscle_fetal	mRNA-Seq	13
GSM1101689	muscle_fetal	mRNA-Seq	13
GSM1101690	muscle_fetal	mRNA-Seq	13
GSM1101691	lung_fetal	mRNA-Seq	13
GSM1101692	lung_fetal	mRNA-Seq	13
GSM1101693	lung_fetal	mRNA-Seq	13
GSM1101694	muscle_fetal	mRNA-Seq	13
GSM1101695	muscle_fetal	mRNA-Seq	13
GSM1101696	muscle_fetal	mRNA-Seq	13
GSM1101697	skeletal_muscle	mRNA-Seq	13
GSM1101698	muscle_fetal	mRNA-Seq	13
GSM1101699	lung_fetal	mRNA-Seq	13
GSM1101700	muscle_fetal	mRNA-Seq	13
GSM1101701	muscle_fetal	mRNA-Seq	13
GSM1101702	muscle_fetal	mRNA-Seq	13
GSM1101703	muscle_fetal	mRNA-Seq	13
GSM1101704	muscle_fetal	mRNA-Seq	13
GSM1101705	muscle_fetal	mRNA-Seq	13
GSM1101706	muscle_fetal	mRNA-Seq	13
GSM1101707	lung_fetal	mRNA-Seq	13
GSM1101708	lung_fetal	mRNA-Seq	13
GSM1101709	lung_fetal	mRNA-Seq	13
GSM1101710	muscle_fetal	mRNA-Seq	13
GSM1101711	spinal_cord_fetal	mRNA-Seq	13
GSM1102781	CD8_primary_cells	H3K27ac	4
GSM1102782	CD14_primary_cells	H3K27ac	5
GSM1102783	stomach_fetal	H3K27ac	3
GSM1102784	placenta	H3K27ac	7
GSM1102785	CD14_primary_cells	H3K27me3	9
GSM1102786	stomach_fetal	H3K27me3	5
GSM1102787	CD3_primary_cells	H3K27me3	5
GSM1102788	CD14_primary_cells	H3K36me3	6
GSM1102789	stomach_fetal	H3K36me3	5
GSM1102790	CD4_primary_cells	H3K36me3	9
GSM1102791	CD8_primary_cells	H3K36me3	11
GSM1102792	placenta	H3K36me3	6
GSM1102793	CD14_primary_cells	H3K4me1	5
GSM1102794	stomach_fetal	H3K4me1	2
GSM1102795	placenta	H3K4me1	5
GSM1102796	adrenal_gland_fetal	H3K4me1	3
GSM1102797	CD14_primary_cells	H3K4me3	4
GSM1102798	CD4_primary_cells	H3K4me3	4
GSM1102799	CD8_primary_cells	H3K4me3	4
GSM1102800	stomach_fetal	H3K4me3	12
GSM1102801	CD14_primary_cells	H3K9me3	3
GSM1102802	small_intestine_fetal	H3K9me3	9
GSM1102803	CD8_primary_cells	H3K9me3	4
GSM1102804	stomach_fetal	H3K9me3	3
GSM1102805	CD4_primary_cells	ChIP-Seq_input	4
GSM1102806	CD8_primary_cells	ChIP-Seq_input	4
GSM1102807	CD14_primary_cells	ChIP-Seq_input	2
GSM1102808	stomach_fetal	ChIP-Seq_input	12
GSM1102809	muscle_fetal	ChIP-Seq_input	12
GSM1112774	HUES6_cell_line	H3K27ac	1
GSM1112775	HUES64_cell_line	H3K27ac	4
GSM1112776	HUES6_cell_line	H3K27ac	1
GSM1112777	chondrocytes_from_bone_marrow_derived_mesenchymal_stem_cells	ChIP-Seq_input	12
GSM1112778	brain_substantia_nigra	H3K27ac	9
GSM1112779	colonic_mucosa	H3K27ac	6
GSM1112780	colon_smooth_muscle	H3K27ac	7
GSM1112781	CD4+_CD25-_Th_primary_cells	ChIP-Seq_input	4
GSM1112782	CD4+_CD25-_CD45RA+_naive_primary_cells	ChIP-Seq_input	4
GSM1112783	stomach_smooth_muscle	H3K27me3	11
GSM1112784	CD4+_CD25-_IL17-_PMA-ionomycin_stimulated_MACS_purified_Th_primary_cells	ChIP-Seq_input	4
GSM1112785	CD4+_CD25int_CD127+_Tmem_primary_cells	ChIP-Seq_input	12
GSM1112786	chondrocytes_from_bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	6
GSM1112787	chondrocytes_from_bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	6
GSM1112788	duodenum_smooth_muscle	H3K9me3	10
GSM1112789	duodenum_smooth_muscle	ChIP-Seq_input	11
GSM1112790	duodenum_mucosa	H3K27ac	2
GSM1112791	brain_hippocampus_middle	H3K27ac	6
GSM1112792	bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	6
GSM1112793	bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	7
GSM1112794	chondrocytes_from_bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	6
GSM1112795	rectal_mucosa	H3K27ac	7
GSM1112796	rectal_smooth_muscle	H3K27ac	7
GSM1112797	bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	6
GSM1112798	bone_marrow_derived_mesenchymal_stem_cells	H3K27ac	7
GSM1112799	kidney	H3K27ac	2
GSM1112800	brain_hippocampus_middle	H3K27me3	11
GSM1112801	rectal_mucosa	H3K27ac	6
GSM1112802	colonic_mucosa	H3K27ac	7
GSM1112803	CD4+_CD25-_IL17+_PMA-ionomcyin_stimulated_Th17_primary_cells	ChIP-Seq_input	4
GSM1112804	CD3_primary_cells	ChIP-Seq_input	12
GSM1112805	hESC-derived_CD184+_endoderm_cultured_cells	H3K36me3	11
GSM1112806	kidney	H3K27ac	2
GSM1112807	brain_angular_gyrus	H3K27ac	7
GSM1112808	liver	H3K27ac	2
GSM1112809	liver	H3K27ac	6
GSM1112810	brain_mid_frontal_lobe	H3K27ac	7
GSM1112811	brain_anterior_caudate	H3K27ac	7
GSM1112812	brain_inferior_temporal_lobe	H3K27ac	7
GSM1112813	brain_cingulate_gyrus	H3K27ac	2
GSM1112814	liver	H3K27me3	2
GSM1112823	hESC-derived_CD56+_mesoderm_cultured_cells	H3K9me3	10
GSM1112824	hESC-derived_CD56+_ectoderm_cultured_cells	H3K27ac	2
GSM1112825	hESC-derived_CD56+_mesoderm_cultured_cells	H3K27ac	9
GSM1112826	hESC-derived_CD56+_ectoderm_cultured_cells	H3K9me3	10
GSM1112827	hESC-derived_CD56+_ectoderm_cultured_cells	H3K27me3	9
GSM1112828	hESC-derived_CD184+_endoderm_cultured_cells	H3K4me1	2
GSM1112829	hESC-derived_CD56+_ectoderm_cultured_cells	H3K27ac	7
GSM1112830	hESC-derived_CD184+_endoderm_cultured_cells	H3K27ac	2
GSM1112831	hESC-derived_CD184+_endoderm_cultured_cells	H3K27ac	6
GSM1112832	hESC-derived_CD56+_mesoderm_cultured_cells	H3K27ac	11
GSM1112833	hESC-derived_CD56+_mesoderm_cultured_cells	mRNA-Seq	13
GSM1112834	HUES64_cell_line	mRNA-Seq	13
GSM1112835	hESC-derived_CD56+_mesoderm_cultured_cells	mRNA-Seq	13
GSM1112836	brain_hippocampus_middle	mRNA-Seq	13
GSM1112837	HUES64_cell_line	mRNA-Seq	13
GSM1112843	hESC-derived_CD56+_ectoderm_cultured_cells	H3K4me3	5
GSM1112844	hESC-derived_CD56+_ectoderm_cultured_cells	mRNA-Seq	13
GSM1112845	hESC-derived_CD184+_endoderm_cultured_cells	mRNA-Seq	13
GSM1112846	hESC-derived_CD56+_ectoderm_cultured_cells	mRNA-Seq	13
GSM1112847	hESC-derived_CD184+_endoderm_cultured_cells	mRNA-Seq	13
GSM1120301	adrenal_gland	mRNA-Seq	13
GSM1120302	heart_aorta	mRNA-Seq	13
GSM1120303	esophagus	mRNA-Seq	13
GSM1120304	adipose	mRNA-Seq	13
GSM1120305	adipose	mRNA-Seq	13
GSM1120306	gastric	mRNA-Seq	13
GSM1120307	gastric	mRNA-Seq	13
GSM1120308	lung	mRNA-Seq	13
GSM1120309	pancreas	mRNA-Seq	13
GSM1120310	psoas_muscle	mRNA-Seq	13
GSM1120311	psoas_muscle	mRNA-Seq	13
GSM1120312	heart_right_ventricle	mRNA-Seq	13
GSM1120313	small_intestine	mRNA-Seq	13
GSM1120316	spleen	mRNA-Seq	13
GSM1120317	spleen	mRNA-Seq	13
GSM1120338	spleen	H3K27ac	5
GSM1120346	esophagus	H3K36me3	3
GSM1120347	small_intestine	H3K36me3	3
GSM1120348	spleen	H3K36me3	3
GSM1120349	esophagus	H3K4me1	3
GSM1120350	small_intestine	H3K4me1	9
GSM1120351	spleen	H3K4me1	3
GSM1120355	lung	H3K9me3	8
GSM1120356	psoas_muscle	H3K9me3	11
GSM1120357	heart_right_ventricle	H3K9me3	4
GSM1120358	sigmoid_colon	H3K9me3	2
GSM1120359	esophagus	H3K9me3	9
GSM1120360	small_intestine	H3K9me3	9
GSM1120361	liver	H3K9me3	2
GSM1120362	sigmoid_colon	ChIP-Seq_input	11
GSM1120363	esophagus	ChIP-Seq_input	2
GSM1120364	esophagus	ChIP-Seq_input	2
GSM1120365	small_intestine	ChIP-Seq_input	9
GSM1125768	large_intestine_fetal	H3K27me3	3
GSM1125769	large_intestine_fetal	H3K36me3	3
GSM1125770	large_intestine_fetal	H3K9me3	8
GSM1127060	penis_foreskin_fibroblast_primary_cells	H3K27ac	3
GSM1127061	pancreatic_islets	H3K27ac	6
GSM1127062	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K4me3	1
GSM1127063	UCSF-4_cell_line	H3K4me3	1
GSM1127064	breast_fibroblast_primary_cells	H3K27ac	2
GSM1127065	breast_fibroblast_primary_cells	H3K4me1	7
GSM1127066	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K4me1	7
GSM1127067	pancreatic_islets	H3K4me3	4
GSM1127068	breast_fibroblast_primary_cells	H3K36me3	7
GSM1127069	pancreatic_islets	H3K36me3	7
GSM1127070	UCSF-4_cell_line	H3K36me3	9
GSM1127071	pancreatic_islets	H3K27ac	9
GSM1127072	penis_foreskin_melanocyte_primary_cells	H3K27ac	9
GSM1127073	penis_foreskin_melanocyte_primary_cells	H3K27ac	3
GSM1127074	pancreatic_islets	H3K27me3	10
GSM1127075	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K36me3	7
GSM1127076	penis_foreskin_fibroblast_primary_cells	H3K27ac	3
GSM1127077	penis_foreskin_keratinocyte_primary_cells	H3K27ac	9
GSM1127078	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K27me3	2
GSM1127079	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K9me3	1
GSM1127080	UCSF-4_cell_line	H3K4me1	7
GSM1127081	UCSF-4_cell_line	H3K9me3	2
GSM1127082	pancreatic_islets	H3K4me3	12
GSM1127083	neurosphere_cultured_cells_ganglionic_eminence_derived	H3K27ac	7
GSM1127084	UCSF-4_cell_line	H3K27me3	9
GSM1127085	breast_fibroblast_primary_cells	H3K4me3	1
GSM1127086	pancreatic_islets	H3K9me3	8
GSM1127087	pancreatic_islets	H3K4me1	1
GSM1127088	neurosphere_cultured_cells_ganglionic_eminence_derived	ChIP-Seq_input	11
GSM1127089	breast_fibroblast_primary_cells	ChIP-Seq_input	5
GSM1127090	UCSF-4_cell_line	ChIP-Seq_input	1
GSM1127091	neurosphere_cultured_cells_ganglionic_eminence_derived	ChIP-Seq_input	5
GSM1127092	pancreatic_islets	ChIP-Seq_input	12
GSM1127093	breast_myoepithelial_cells	mRNA-Seq	13
GSM1127094	breast_vHMEC	mRNA-Seq	13
GSM1127095	placenta_amnion	mRNA-Seq	6
GSM1127096	placenta_basal_plate	mRNA-Seq	13
GSM1127097	placenta_basal_plate	mRNA-Seq	13
GSM1127098	placenta_basal_plate	mRNA-Seq	13
GSM1127099	breast_stem_cells	mRNA-Seq	13
GSM1127100	breast_fibroblast_primary_cells	mRNA-Seq	13
GSM1127101	breast_fibroblast_primary_cells	mRNA-Seq	13
GSM1127102	placenta_villi	mRNA-Seq	13
GSM1127103	breast_luminal_epithelial_cells	mRNA-Seq	13
GSM1127104	brain_cerebellum	mRNA-Seq	5
GSM1127105	pancreatic_islets	mRNA-Seq	13
GSM1127106	placenta_trophoblast	mRNA-Seq	13
GSM1127107	placenta_chorion_smooth	mRNA-Seq	13
GSM1127108	placenta_amnion	mRNA-Seq	13
GSM1127109	UCSF-4_cell_line	smRNA-Seq	5
GSM1127110	neurosphere_cultured_cells_cortex_derived	smRNA-Seq	13
GSM1127111	penis_foreskin_keratinocyte_primary_cells	smRNA-Seq	13
GSM1127112	UCSF-4_cell_line	smRNA-Seq	5
GSM1127113	penis_foreskin_keratinocyte_primary_cells	smRNA-Seq	13
GSM1127114	neurosphere_cultured_cells_ganglionic_eminence_derived	smRNA-Seq	13
GSM1127115	neurosphere_cultured_cells_ganglionic_eminence_derived	smRNA-Seq	13
GSM1127116	penis_foreskin_fibroblast_primary_cells	smRNA-Seq	13
GSM1127126	peripheral_blood_mononuclear_primary_cells	H3K4me3	11
GSM1127127	peripheral_blood_mononuclear_primary_cells	H3K4me3	1
GSM1127128	placenta_chorion_smooth	H3K4me3	4
GSM1127129	placenta_amnion	H3K4me1	2
GSM1127130	peripheral_blood_mononuclear_primary_cells	H3K27me3	2
GSM1127131	peripheral_blood_mononuclear_primary_cells	H3K36me3	9
GSM1127132	placenta_amnion	H3K27ac	2
GSM1127133	peripheral_blood_mononuclear_primary_cells	H3K9me3	4
GSM1127134	breast_fibroblast_primary_cells	H3K27me3	1
GSM1127135	peripheral_blood_mononuclear_primary_cells	H3K9me3	8
GSM1127136	placenta_chorion_smooth	H3K4me1	9
GSM1127137	peripheral_blood_mononuclear_primary_cells	H3K27ac	2
GSM1127138	placenta_amnion	H3K4me3	4
GSM1127139	placenta_amnion	H3K27me3	11
GSM1127140	placenta_amnion	H3K9me3	4
GSM1127141	placenta_chorion_smooth	H3K36me3	9
GSM1127142	peripheral_blood_mononuclear_primary_cells	H3K27me3	2
GSM1127143	peripheral_blood_mononuclear_primary_cells	H3K4me1	9
GSM1127144	placenta_amnion	H3K36me3	9
GSM1127145	peripheral_blood_mononuclear_primary_cells	H3K27ac	2
GSM1127146	placenta_chorion_smooth	H3K27me3	11
GSM1127147	placenta_chorion_smooth	H3K27ac	9
GSM1127148	placenta_chorion_smooth	ChIP-Seq_input	4
GSM1127149	peripheral_blood_mononuclear_primary_cells	ChIP-Seq_input	12
GSM1127150	placenta_amnion	ChIP-Seq_input	4
GSM1127151	peripheral_blood_mononuclear_primary_cells	ChIP-Seq_input	4
GSM1127152	placenta_chorion_smooth	smRNA-Seq	5
GSM1127153	neurosphere_cultured_cells_ganglionic_eminence_derived	smRNA-Seq	13
GSM1127154	placenta_amnion	smRNA-Seq	6
GSM1127155	placenta_villi	smRNA-Seq	6
GSM1127156	placenta_trophoblast	smRNA-Seq	13
GSM1127157	placenta_villi	smRNA-Seq	5
GSM1127158	placenta_chorion_smooth	smRNA-Seq	6
GSM1127159	penis_foreskin_melanocyte_primary_cells	smRNA-Seq	13
GSM1127160	placenta_trophoblast	smRNA-Seq	13
GSM1127161	brain_fetal	smRNA-Seq	13
GSM1127162	placenta_chorion_smooth	smRNA-Seq	6
GSM1127163	peripheral_blood_mononuclear_primary_cells	smRNA-Seq	13
GSM1127164	penis_foreskin_melanocyte_primary_cells	smRNA-Seq	13
GSM1127165	placenta_basal_plate	smRNA-Seq	5
GSM1127166	placenta_villi	smRNA-Seq	5
GSM1127171	psoas_muscle	H3K27ac	5
GSM1127172	small_intestine	H3K27ac	5
GSM1127173	heart_left_ventricle	H3K27ac	3
GSM1127180	gastric	H3K36me3	5
GSM1127181	psoas_muscle	H3K36me3	3
GSM1127182	pancreas	H3K36me3	3
GSM1127188	spleen	ChIP-Seq_input	3
GSM1160189	muscle_fetal	H3K27ac	2
GSM1160190	adrenal_gland_fetal	H3K27ac	9
GSM1160191	muscle_fetal	H3K27me3	13
GSM1160192	adrenal_gland_fetal	H3K27me3	5
GSM1160193	placenta	H3K27me3	3
GSM1160194	CD19_primary_cells	H3K27me3	9
GSM1160195	muscle_fetal	H3K36me3	3
GSM1160196	adrenal_gland_fetal	H3K36me3	5
GSM1160197	muscle_fetal	H3K4me1	13
GSM1160198	adrenal_gland_fetal	H3K4me3	11
GSM1160199	placenta	H3K4me3	1
GSM1160200	muscle_fetal	H3K4me3	9
GSM1160201	adrenal_gland_fetal	H3K9me3	10
GSM1160202	muscle_fetal	H3K9me3	8
GSM1160203	muscle_fetal	H3K9me3	8
GSM1160204	placenta	H3K9me3	7
GSM1160205	CD19_primary_cells	H3K9me3	3
GSM1160206	placenta	ChIP-Seq_input	1
GSM1160207	adrenal_gland_fetal	ChIP-Seq_input	4
GSM1517153	breast_myoepithelial_cells	MeDIP-Seq	3
GSM1517154	breast_luminal_epithelial_cells	MeDIP-Seq	9
GSM409307	H1_cell_line	H3K4me1	6
GSM409308	H1_cell_line	H3K4me3	13
GSM409312	H1_cell_line	H3K36me3	5
GSM410807	H1_cell_line	H3K9ac	7
GSM410808	H1_cell_line	H3K4me3	7
GSM428286	H1_cell_line	MRE-Seq	5
GSM428289	H1_cell_line	ChIP-Seq_input	2
GSM428291	H1_cell_line	H3K9me3	5
GSM428295	H1_cell_line	H3K27me3	5
