chr	start	end	GSM1027306	GSM1027310	GSM1027311	GSM1027320	GSM1027322	GSM1027325	GSM1027326	GSM1027328	GSM1027334	GSM1027335	GSM468792	GSM468801	GSM493384	GSM493386	GSM493387	GSM530651	GSM530652	GSM530653	GSM530654	GSM530657	GSM530658	GSM530659	GSM530660	GSM530661	GSM530663	GSM530664	GSM530665	GSM530666	GSM595913	GSM595914	GSM595917	GSM595918	GSM595919	GSM595920	GSM595922	GSM595923	GSM595926	GSM595928	GSM665800	GSM665801	GSM665802	GSM665803	GSM665804	GSM665811	GSM665812	GSM665813	GSM665814	GSM665817	GSM665819	GSM665820	GSM665824	GSM665830	GSM665831	GSM665836	GSM665837	GSM665838	GSM665839	GSM701488	GSM701489	GSM701491	GSM701492	GSM701493	GSM701499	GSM701500	GSM701503	GSM701507	GSM701508	GSM701516	GSM701525	GSM701526	GSM701539	GSM701540	GSM701541	GSM753973	GSM753974	GSM774201	GSM774203	GSM774208	GSM817160	GSM817165	GSM817166	GSM817167	GSM817198	GSM817215	GSM817220	GSM878612	GSM878613	GSM878614	GSM878615	GSM878616	GSM878621	GSM878628	GSM878630	GSM878650	GSM878651	GSM878652	GSM878658	GSM906379	GSM906380	GSM906381	Stem15	Stem16	Stem6
chr1	10000000	11000000	0.344542	0.292195	0.414589	0.436579	0.414367	0.383185	0.312697	0.323227	0.429193	0.403083	0.251694	0.251213	0.178962	0.226444	0.286807	0.157446	0.220598	0.356035	0.272604	0.200605	0.229297	0.191881	0.226773	0.282606	0.278138	0.288239	0.362778	0.287245	0.184485	0.256255	0.163363	0.180348	0.173382	0.174154	0.230424	0.227244	0.199701	0.167406	0.251982	0.265266	0.283196	0.22889	0.289392	0.290701	0.23961	0.379846	0.245416	0.334982	0.26362	0.323514	0.312501	0.319752	0.329582	0.140013	0.185479	0.190755	0.209259	0.439827	0.354688	0.25088	0.235258	0.224384	0.263925	0.269917	0.188724	0.271349	0.294685	0.351249	0.201403	0.203605	0.225807	0.215177	0.200652	0.207167	0.198384	0.263692	0.3864	0.196468	0.257996	0.295556	0.341926	0.270068	0.215246	0.220793	0.326038	0.413892	0.324026	0.358487	0.375108	0.425451	0.293866	0.262418	0.31015	0.325481	0.286301	0.268307	0.325278	0.443008	0.220085	0.271054	0.464589	0.008893	0.499443
chr1	11000000	12000000	0.340359	0.253508	0.375953	0.40849	0.363182	0.352181	0.314875	0.371204	0.411547	0.415118	0.251883	0.252194	0.190938	0.243314	0.31044	0.19607	0.241648	0.303983	0.19024	0.201204	0.241508	0.209302	0.246782	0.210494	0.302122	0.313491	0.369472	0.296211	0.228467	0.285633	0.163055	0.186985	0.179705	0.207597	0.254835	0.253714	0.229545	0.192214	0.269915	0.291969	0.292417	0.239818	0.309317	0.223623	0.251058	0.391729	0.159809	0.256542	0.298988	0.319873	0.217247	0.220532	0.216849	0.154576	0.200809	0.205273	0.228353	0.461453	0.377116	0.274529	0.267792	0.258391	0.283865	0.233995	0.219152	0.313466	0.311623	0.372308	0.212934	0.236479	0.25304	0.235045	0.226119	0.205665	0.194188	0.26899	0.318125	0.205188	0.273593	0.260759	0.371915	0.257544	0.218448	0.233339	0.227792	0.417295	0.330442	0.377267	0.376238	0.439546	0.303532	0.2865	0.238297	0.3622	0.339893	0.305273	0.266341	0.424679	0.190431	0.231963	0.455421	0.008141	0.495118
chr1	12000000	13000000	0.294457	0.220364	0.327739	0.409053	0.38107	0.345851	0.312304	0.25235	0.442993	0.398808	0.252229	0.243157	0.170372	0.212625	0.276357	0.112538	0.20038	0.260461	0.224532	0.186048	0.205473	0.178384	0.210294	0.243614	0.258905	0.277397	0.350622	0.283204	0.147854	0.244448	0.158794	0.175334	0.165389	0.115385	0.157041	0.148007	0.136429	0.103615	0.214032	0.224143	0.22354	0.190416	0.197308	0.23564	0.240562	0.376252	0.212541	0.288495	0.20223	0.318904	0.272485	0.270915	0.275008	0.154864	0.202106	0.192502	0.227346	0.426486	0.353868	0.259687	0.231081	0.219388	0.280911	0.248637	0.201506	0.263342	0.305557	0.354493	0.209188	0.202797	0.215847	0.211563	0.205234	0.1782	0.179193	0.242521	0.330929	0.165425	0.251195	0.225511	0.349804	0.220921	0.196122	0.197701	0.271718	0.345221	0.265699	0.360001	0.309464	0.360812	0.256837	0.264359	0.276812	0.251376	0.198752	0.19506	0.245425	0.349932	0.195064	0.232857	0.45527	0.009115	0.496229
chr1	13000000	14000000	0.072962	0.054413	0.088384	0.092676	0.082123	0.087076	0.07366	0.069003	0.105596	0.096284	0.052846	0.050605	0.036807	0.052018	0.070471	0.032514	0.04797	0.067777	0.040453	0.041179	0.045763	0.039832	0.048756	0.051165	0.060742	0.069411	0.078635	0.061369	0.039355	0.057869	0.035533	0.039257	0.036176	0.033845	0.045444	0.044661	0.038097	0.0321	0.049711	0.052004	0.050578	0.042833	0.056071	0.044912	0.044622	0.064158	0.036322	0.054877	0.051822	0.058538	0.048919	0.042378	0.050833	0.024293	0.030819	0.027403	0.036939	0.075118	0.061868	0.046301	0.047703	0.043268	0.042737	0.048986	0.043217	0.055635	0.062957	0.053396	0.035645	0.04273	0.036093	0.033433	0.047949	0.036423	0.03316	0.063097	0.06104	0.033048	0.041061	0.061546	0.053335	0.060974	0.049391	0.047712	0.047831	0.086678	0.06539	0.093024	0.078199	0.091475	0.062836	0.059925	0.050172	0.068188	0.056955	0.054408	0.065946	0.08074	0.045766	0.052053	0.367097	0.005929	0.3984
chr1	14000000	15000000	0.258156	0.227032	0.362757	0.381046	0.299337	0.345305	0.295532	0.30439	0.390615	0.384304	0.229249	0.211311	0.124849	0.182428	0.279809	0.166571	0.179422	0.252391	0.133005	0.147402	0.171783	0.137946	0.185691	0.153285	0.241525	0.270622	0.322379	0.251467	0.209131	0.237869	0.154263	0.168818	0.134816	0.204291	0.252619	0.234574	0.220535	0.193273	0.206291	0.208566	0.203608	0.180645	0.334581	0.127429	0.205634	0.301862	0.112371	0.191965	0.281889	0.260548	0.17754	0.143543	0.160217	0.108623	0.156764	0.129988	0.170022	0.352248	0.27287	0.211277	0.199046	0.17742	0.208115	0.244837	0.156768	0.222488	0.26823	0.255323	0.16559	0.180847	0.144621	0.142689	0.179226	0.1628	0.157821	0.27731	0.209494	0.116907	0.188662	0.243625	0.245813	0.231851	0.190021	0.184722	0.15144	0.350033	0.264728	0.370773	0.314775	0.349654	0.252956	0.249188	0.178578	0.307283	0.273925	0.256851	0.266072	0.354548	0.170657	0.196525	0.445094	0.009761	0.495228
chr1	15000000	16000000	0.343898	0.298747	0.418642	0.460489	0.34995	0.399844	0.391074	0.347487	0.472547	0.482205	0.281484	0.273661	0.205753	0.255502	0.333241	0.173268	0.245851	0.35657	0.190612	0.233962	0.250227	0.223582	0.262082	0.212201	0.31529	0.324133	0.397634	0.325677	0.208045	0.296266	0.190382	0.215443	0.198368	0.187579	0.252945	0.249547	0.214953	0.184483	0.257741	0.276828	0.273318	0.232123	0.312794	0.206523	0.240365	0.368482	0.153462	0.246185	0.248501	0.294271	0.217243	0.218024	0.217738	0.163294	0.177247	0.182126	0.215149	0.422559	0.346715	0.262766	0.235085	0.216456	0.249702	0.301609	0.235841	0.273166	0.332186	0.323583	0.197126	0.21553	0.221786	0.210771	0.243747	0.222881	0.220904	0.277492	0.321208	0.231775	0.248224	0.311909	0.313823	0.29207	0.236238	0.244159	0.224461	0.422931	0.327463	0.403918	0.367518	0.434409	0.299956	0.29721	0.248391	0.344676	0.296945	0.273786	0.323147	0.416601	0.258104	0.312239	0.454867	0.008719	0.489176
chr1	16000000	17000000	0.361049	0.275488	0.378162	0.450746	0.43779	0.385523	0.372299	0.326719	0.52383	0.442122	0.274706	0.276577	0.209251	0.268855	0.307368	0.152499	0.258756	0.339215	0.265095	0.232767	0.269216	0.234393	0.269093	0.275852	0.322807	0.306567	0.383174	0.318046	0.183138	0.276334	0.189968	0.208772	0.212755	0.153495	0.194969	0.197712	0.185241	0.151301	0.262281	0.286775	0.297501	0.241394	0.256962	0.293716	0.277376	0.418308	0.235125	0.326192	0.240377	0.33215	0.304141	0.308297	0.304706	0.173922	0.22959	0.235321	0.266278	0.483394	0.414685	0.300024	0.325863	0.299983	0.308884	0.284037	0.237978	0.343865	0.326908	0.415168	0.233566	0.266781	0.282	0.264374	0.243508	0.243794	0.236723	0.256579	0.394906	0.252997	0.312832	0.2816	0.399738	0.269249	0.244667	0.262417	0.308863	0.422334	0.332024	0.390081	0.372053	0.430769	0.295982	0.302348	0.327437	0.308717	0.279587	0.25641	0.304244	0.420592	0.269118	0.322873	0.465315	0.008693	0.499056
chr1	17000000	18000000	0.337272	0.230558	0.326922	0.39308	0.324742	0.336664	0.3246	0.31658	0.401875	0.414477	0.247615	0.252203	0.194776	0.247315	0.302272	0.146457	0.233724	0.274416	0.177793	0.222808	0.257853	0.221361	0.255491	0.187013	0.298462	0.299144	0.361269	0.294515	0.174983	0.269913	0.168271	0.175559	0.192807	0.145606	0.19308	0.199985	0.176773	0.147397	0.271148	0.290766	0.296115	0.246049	0.239021	0.192623	0.231501	0.333598	0.143352	0.233136	0.212233	0.257834	0.188249	0.20107	0.203629	0.137883	0.164175	0.172694	0.199462	0.397205	0.320742	0.249529	0.24175	0.223528	0.237088	0.253096	0.21873	0.275859	0.274608	0.315183	0.182396	0.222263	0.234437	0.21122	0.231196	0.224373	0.211897	0.233481	0.291005	0.237547	0.245383	0.243386	0.318276	0.231674	0.220378	0.235627	0.198129	0.411745	0.321053	0.359004	0.354593	0.429967	0.286444	0.271895	0.223495	0.304064	0.265588	0.24382	0.232179	0.399165	0.201589	0.25459	0.438301	0.0087	0.475718
chr1	18000000	19000000	0.30895	0.253998	0.384982	0.419266	0.303586	0.361047	0.316005	0.373209	0.326399	0.429606	0.249807	0.245515	0.150983	0.209392	0.309085	0.19122	0.2105	0.302834	0.139774	0.161863	0.195861	0.163141	0.218014	0.152909	0.257905	0.302686	0.372202	0.292863	0.231078	0.280088	0.145145	0.164993	0.140194	0.209595	0.288705	0.283821	0.240207	0.205839	0.296586	0.311309	0.309582	0.260523	0.339482	0.153024	0.202656	0.293678	0.101422	0.199288	0.29816	0.252268	0.149127	0.143761	0.153851	0.113302	0.149266	0.136269	0.169322	0.382695	0.293672	0.215504	0.190109	0.173802	0.206827	0.212088	0.199864	0.227848	0.267852	0.255558	0.168267	0.192037	0.184997	0.167413	0.210121	0.173267	0.16218	0.276616	0.247123	0.143545	0.204596	0.262397	0.27868	0.264376	0.240327	0.240373	0.150371	0.454559	0.356157	0.420794	0.403512	0.460795	0.317329	0.293334	0.17795	0.379918	0.321822	0.313576	0.260796	0.455336	0.163447	0.185616	0.439983	0.007602	0.481801
chr1	19000000	20000000	0.334576	0.26184	0.394893	0.47864	0.408546	0.397509	0.358357	0.312097	0.49846	0.46024	0.289828	0.288032	0.210604	0.260551	0.332482	0.147842	0.246221	0.33253	0.200019	0.235164	0.267099	0.223264	0.265842	0.218188	0.31462	0.331939	0.409973	0.336617	0.186015	0.303549	0.192654	0.217578	0.206003	0.154317	0.199058	0.202875	0.179479	0.146439	0.259937	0.274657	0.270296	0.227629	0.255894	0.222926	0.28677	0.441964	0.171955	0.271703	0.225212	0.362356	0.228211	0.23981	0.235272	0.164962	0.235603	0.230783	0.271697	0.502265	0.429027	0.304968	0.276723	0.255631	0.328242	0.276259	0.229022	0.319322	0.337532	0.429231	0.242948	0.238618	0.27349	0.259086	0.246865	0.242929	0.23203	0.28826	0.334393	0.229113	0.299672	0.286634	0.4112	0.279704	0.230155	0.2431	0.247987	0.411244	0.321678	0.40012	0.382514	0.427161	0.294836	0.299701	0.257527	0.309392	0.263465	0.255651	0.295361	0.429208	0.249547	0.304696	0.452943	0.007186	0.491197
chr1	20000000	21000000	0.329453	0.256338	0.382893	0.407853	0.363205	0.353257	0.308199	0.304596	0.422591	0.412384	0.260114	0.256701	0.157641	0.209895	0.293075	0.145124	0.208137	0.310284	0.14907	0.17929	0.203979	0.174849	0.217869	0.169043	0.261067	0.294571	0.3743	0.296577	0.188954	0.263073	0.163288	0.175678	0.157052	0.154656	0.210469	0.202824	0.185347	0.155495	0.24545	0.258647	0.248547	0.203571	0.26533	0.16574	0.221838	0.35645	0.117949	0.213305	0.244801	0.297865	0.169221	0.167297	0.174474	0.127616	0.173219	0.161914	0.196656	0.407621	0.330857	0.240045	0.24546	0.231608	0.242939	0.264345	0.193731	0.290431	0.294928	0.327945	0.185155	0.217831	0.201525	0.192568	0.209291	0.238467	0.226846	0.265072	0.24849	0.167044	0.233627	0.267924	0.322903	0.263694	0.213423	0.213752	0.175651	0.387034	0.303165	0.394683	0.35114	0.399182	0.282727	0.27385	0.195075	0.300308	0.254198	0.248018	0.281984	0.397537	0.200074	0.243004	0.439985	0.008089	0.486165
chr1	21000000	22000000	0.346065	0.286131	0.434293	0.409893	0.366577	0.372079	0.334213	0.296613	0.449593	0.40803	0.26683	0.255165	0.193721	0.248275	0.29626	0.140777	0.226194	0.358823	0.194872	0.227282	0.251773	0.207007	0.249137	0.221777	0.28873	0.295417	0.368529	0.299436	0.171612	0.263142	0.190828	0.213973	0.203025	0.152956	0.210503	0.205507	0.173259	0.140153	0.22921	0.247549	0.250783	0.214204	0.269277	0.213098	0.242035	0.369215	0.185263	0.258132	0.251843	0.323417	0.24517	0.23259	0.238896	0.140797	0.182622	0.17724	0.216871	0.41604	0.349379	0.252361	0.26618	0.246535	0.260847	0.270385	0.208781	0.310111	0.301716	0.34642	0.1994	0.216142	0.207832	0.200461	0.223517	0.198063	0.194536	0.255173	0.310049	0.23336	0.252303	0.325829	0.333261	0.286901	0.230647	0.237258	0.247533	0.401858	0.310602	0.357107	0.335947	0.397954	0.27829	0.258058	0.249134	0.296349	0.255676	0.245719	0.354387	0.392179	0.263906	0.32373	0.477918	0.012094	0.513661
chr1	22000000	23000000	0.369661	0.30435	0.425422	0.448338	0.382819	0.389462	0.372495	0.327056	0.432375	0.456444	0.252539	0.256745	0.194894	0.253947	0.312362	0.152836	0.240618	0.37535	0.197551	0.217095	0.251087	0.210679	0.255603	0.223068	0.303625	0.311357	0.372885	0.30004	0.1829	0.283106	0.180652	0.199834	0.193364	0.163015	0.221169	0.215684	0.193754	0.163357	0.262185	0.281655	0.289624	0.236884	0.267179	0.227572	0.243584	0.365302	0.169941	0.259291	0.225949	0.304944	0.228035	0.231686	0.23287	0.138543	0.18823	0.182541	0.214648	0.439856	0.366606	0.262695	0.254038	0.239711	0.26366	0.267728	0.209042	0.293843	0.296842	0.351035	0.201956	0.221658	0.230208	0.214602	0.216783	0.210541	0.202371	0.26992	0.329768	0.226204	0.257155	0.305252	0.347613	0.294265	0.240286	0.252858	0.236753	0.413541	0.323033	0.416706	0.364111	0.443406	0.296064	0.316177	0.252228	0.322943	0.273927	0.256007	0.329507	0.404693	0.229068	0.287559	0.448334	0.008542	0.491661
chr1	23000000	24000000	0.353317	0.289967	0.403438	0.437717	0.372272	0.370126	0.336403	0.31332	0.484906	0.426143	0.285806	0.275071	0.191031	0.245691	0.309811	0.148045	0.239052	0.339716	0.214161	0.220425	0.251946	0.206894	0.255497	0.234495	0.304258	0.307837	0.398504	0.324211	0.186405	0.282158	0.190245	0.216144	0.204121	0.167412	0.227073	0.220779	0.188192	0.157665	0.253545	0.271036	0.275625	0.227438	0.270237	0.228648	0.260669	0.389914	0.191939	0.272828	0.250905	0.334673	0.26164	0.244613	0.261858	0.14859	0.208276	0.189058	0.239991	0.451228	0.380392	0.280658	0.278151	0.26489	0.295819	0.296348	0.214207	0.318885	0.317002	0.377113	0.217887	0.233118	0.22947	0.21614	0.229957	0.244413	0.237	0.271396	0.337774	0.228142	0.277198	0.288495	0.362243	0.273429	0.250184	0.256451	0.259341	0.414934	0.322998	0.406063	0.383531	0.426518	0.29513	0.29928	0.272875	0.31189	0.268337	0.247777	0.309648	0.436858	0.27395	0.331977	0.453406	0.009048	0.495319
